FINAL_BOARD,RESULT,X_LONGEST_PATH,O_LONGEST_PATH,X_LONGEST_N1,X_LONGEST_N2,X_LONGEST_N3,X_LONGEST_N4,O_LONGEST_N1,O_LONGEST_N2,O_LONGEST_N3,O_LONGEST_N4
547076755962070,1.0,9,8,4,5,2,0,3,2,3,1
146815798662842,1.0,14,10,5,6,5,2,2,3,4,1
162759655828699,0.5,11,11,2,4,4,1,4,6,2,1
242555544153462,1.0,9,8,4,5,2,0,4,3,2,2
561919220684623,0.0,10,15,4,2,6,0,3,7,9,0
339394717173073,1.0,13,7,4,11,2,0,3,4,1,0
525593801523941,1.0,13,8,3,8,3,0,4,3,2,1
103135276122456,0.0,7,9,3,3,3,0,3,6,1,0
86408897584715,1.0,10,5,3,5,3,0,1,3,1,0
430606728540860,0.0,11,12,4,7,2,0,4,8,2,0
167936393833229,0.0,7,9,0,6,0,1,2,7,0,0
425803490747131,0.0,7,15,3,2,3,0,0,10,4,2
71308936267723,1.0,18,8,4,10,8,1,2,4,2,1
256524469343757,1.0,19,10,4,10,6,2,2,7,2,0
376216178151839,0.5,8,8,2,5,2,0,1,4,3,0
470912684405295,1.0,10,8,3,6,3,0,3,5,1,0
438429545408084,1.0,14,13,5,7,5,0,4,5,6,1
113532486741187,1.0,11,7,3,8,1,2,3,4,1,0
39682139432559,1.0,15,12,4,5,10,0,1,6,5,0
487396462818720,1.0,12,8,4,8,2,1,3,5,1,0
21606500348156,1.0,13,12,3,6,5,1,2,10,2,0
494090645679397,1.0,7,5,1,4,1,1,4,2,0,1
455808154356606,0.0,8,17,2,5,2,0,4,7,8,2
457735187130462,0.0,10,13,5,6,3,0,4,7,4,0
278226157340501,1.0,21,10,3,14,5,0,3,4,3,1
420882687286114,0.0,8,9,1,6,1,0,3,6,1,0
310950448195506,1.0,8,7,2,3,2,1,2,3,2,0
332983236581180,0.0,8,9,2,5,2,0,3,6,1,1
291301342035365,1.0,15,6,5,10,5,1,0,4,2,0
526607634790980,1.0,12,10,2,8,2,1,3,9,1,0
42039838203256,1.0,16,11,2,7,6,2,2,4,4,2
270030049958473,1.0,9,8,3,3,3,1,2,6,0,0
69736365408718,0.0,11,18,2,5,4,0,2,13,2,1
306906941343062,1.0,9,5,5,7,1,2,3,2,1,0
